tweet_id,sentiment,author,content,gemini
1957169248,worry,AliciaVelasquez,class color day tomorrow! last time!  I have a lot to remember for tomorrow but I bet I'll forget -_-,13
1957172370,surprise,WillSpringfield,FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!,1
1957174342,empty,ErictheAzn,@allyycase I'm trying to sleep!!! It's not working,2
1957176357,sadness,jasku,Blackout in the city is never good,13
1957180100,worry,MARCisaballa,My tongue still hurts.  I need to sleep!!!,11
1957182181,worry,eberhartn,Playn madden with austin. Im going to miss him..,11
1957184403,neutral,kaushal,@sakshijuneja ok that's subtly saying i'm no longer a fave  temme 1 thing - did the firangs steal your vocab? ur eating words and how!,1
1957188806,hate,maojoa,"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!",7
1957190291,sadness,TimRogers,@sfannah Ahhhhh  Well at least I'm up to!,12
1957191925,worry,OnyxWolf,I can't sleep. I can't find my grandmother's quilt or locket. I'm sick at myself cause I may have lost them somehow. Or they were stolen,11
1957193022,worry,HalfCentaur,@Sageey My public talk in July got canceled and I don't know why.,11
1957195244,sadness,She_shines92,@theblackestsea oh crap!!,12
1957196825,sadness,gemmy628,"I'm so unhappy being here. I hate it. It's affecting everything. My relationships with people, my personality, my attitude...",7
1957198814,sadness,KatrinaMarieee,The 3d version of Up sold out   regular version it is!,9
1957202373,fun,Embabe09,@Jukie_08 hell yeah! i missed u last nite  lol do u like my opinion?,5
1957204516,worry,matthysbakker,"Missed my train by 5 secs  yesterdaynight knijp, jaap &amp; flashback. Now sitting on the blisters. If you know what I mean. ;)",11
1957206336,worry,RochelleReyes,"Finally watched the rest of The Guild Season 2. I always feel so sorry (and hopeful at the same time) for your char, @feliciaday",9
1957207781,enthusiasm,kinarodriguez,Only one more day of Jay Leno  que sad!,11
1957210815,surprise,dangergianni,@FriendlyFetus cause they changed man....,1
1957213816,neutral,cindyleigh,@RichardGiles mine pools... just in someone elses pocket,1
1957216776,sadness,PetteB,Wish I was at sri panwa now,12
1957218793,hate,DInstros,dam it keeps rainin on me,11
1957221717,worry,SheeqS,4 cases of swine flu!,13
1957224476,surprise,ItsTheNeeNee,"My Pandora is hitten hard, why can't real radio play great music like this",1
1957227155,neutral,JenniferRhea,Just finished watching &quot;Marley and Me&quot;,11
1957228449,sadness,serinurshira,I'm going to miss Miss Suhana,11
1957230570,love,MolliexD,just got Up and going to get ready to go to meadowhall ;) can't believe my internet broke yesterday  GUTTED,11
1957233475,neutral,neonpowerbomb,@gettothefalcon i miss that too,11
1957236960,neutral,laurenggraves,Jay Leno has one more show left as the host of The Tonight Show,9
1957238725,sadness,ghulai,"says I'm still dreaming about that Nikon D60..erRr!  *ate, kuya **PLEASE** lang* huhuh http://plurk.com/p/wxrx5",11
1957241204,empty,KINGmoney,@makavellirayne nah the lights killed the mood now you got to get out my bed,1
1957243017,love,Amanda702,Looking at old pictures... I love it &amp; miss the good ol days,8
1957245151,neutral,Joshuah_Pearson,@CHARITY_GANT popularity contest and they think twitter will help.... and it's become trendy,1
1957247328,sadness,kasiandra,"Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!",1
1957249452,sadness,_erica,"@kesoleil Oh man, Did Yogg today. Worse than last week.",11
1957252272,worry,patep34,worried about Mr. Socks tonight.,13
1957256797,worry,Lunarcraft,Again working on the internet shop ... don't think we will achieve the goal of uploading by the previously set time   Will keep going,13
1957260020,worry,vaowen,Can't get the sound to work while on DVD. I was going to watch Mary Poppins.,2
1957263518,neutral,shoptilldrop,i sooooooooo dont want to go to work today to nice outside.,2
1957265830,sadness,TonyPrice1970,"I hate working nights, cos I'm not really able to enjoy this gorgeous weather, as I will be asleep",7
1957267208,worry,AlluringBri,i wish people would leave jon &amp; kate alone  i really like that show,9
1957270955,sadness,BrittanyRenee92,is tired of summer already,2
1957273413,sadness,Shitfuckdamn,@Trentskers Pfftt... I wish. Don't have time though.,2
1957277936,worry,bigenya,"@overlordtrainee Sigh. It is a sad, lonely profession.",11
1957279773,worry,coolakool7,"@againtoday i'm hear ya dude, i can't either",9
1957282768,neutral,thecrimedonkey,@_anniemay OMG No fair,1
1957285346,enthusiasm,JosBirken,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn't subtract the pic URL from the 140 character limit,2
1957287721,neutral,kasiandra,rented bikes + unknown trail with random bumps + big hills + kids = one beat up little girl. Not a good day on the B family vacation.,11
1957290428,sadness,shmerin,The fam back on the Big Island said the vog has been so bad that they can't see the ocean. Sad!,11
1957292590,fun,thatgirlFel,@OXtravaganza and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.,5
1957295065,sadness,hellocuppycake,@madeleinelaurin whys your cat in pain?,13
1957298429,neutral,theanand,"@vivzy wanted to change my handset covers, pen drives and a headphone in some place..guess its not happening...",9
1957300913,worry,JaffasGirl,is very very tired  just want to sleep.  Stupid work getting in the way!!!,
1957302602,happiness,gyurnec,@captainboots  YOU'RE FAKING IT! Hahaha...I kid.,5
1957305294,sadness,maehashi,"@irkengir No. As a result, the salary is a decrease",1
1957308753,love,emmmahh,aw. nick got his heart broken.  poor baby. i love you!,8
1957312495,happiness,achura,@pourmecoffee I won my 5th grade spelling bee. Went down trailing flames on 1st word at county spelling bee  http://post.ly/geb,12
1957314701,worry,laneymarie7,i cant sleep,11
1957317304,neutral,FashionistaJay,@Burgandy1 Girl I know!,12
1957319044,fun,AlyshiaSheree,@TerrenceJ106  aww-that's my last one. Roo-Oop,12
1957321147,neutral,snishemoto,gahh!! i'm so tired right now.,1
1957323890,neutral,libster_t,i have nothing to do,2
1957328258,hate,CloudiestClairy,i'm so sick   bad throat and the WORST toothache.  good thing i work in a pharmacy.  load me up with drugs!!,
1957331263,sadness,RAQUELchea,"its 2:08 am. I CAN'T SLEEP!!!!!  i thought it was b/c im hungry, so i whipped up a pb&amp;j with milk. hopefully it works!!!!",13
1957333645,sadness,chalenasmiles,Tired. About to climb into bed and fall asleep. I hope this weekend will be fun... I only have a couple of weeks left,9
1957336804,sadness,bigenya,"@Meikah Hala, I do not know that one.  Shame on me.",9
1957339781,worry,faiththiang,@ErikVeland Dude... That sucks! Why would they tow it from your own space?,1
1957342084,neutral,jessicadbrewer,@arania nope i cant figure out how to get the updates on my blackberry. . . i need to go running too,9
1957345815,sadness,skrivkoop,Today feels like friday. Too bad its not,2
1957347056,neutral,aDDuSQa,iï¿½m ill.. bueeee..,11
1957349129,worry,bigmadkev,Morning all: Looks like no Nintendo Gameboy phone,9
1957351445,surprise,AlyssaDiaz95,"@deezeen I know, pero available na yata eh. Sa Singapore, though!",9
1957353973,sadness,Mr_GaGa,@msalonen I feel like a Truck just hit me too! I also Resemble a man hit by a truck!,1
1957357361,happiness,emcrxtna,@ahhrjay useless tweet! LOL jk yay!!! You're coming tmr! How long u gnna be in phils for  ?,5
1957360852,happiness,Truly_Unexpecte,"@TerrenceJ106 I'm up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!",
1957362899,sadness,_erica,OMG. Period cramps are FTL. So much pain.,11
1957364890,surprise,jelaniharris,"I thought that there was going to be another Def Jam Fighting game, but then it turned out to be crappy karaoke game. I miss the fighting",1
1957366702,empty,DiscoverClocks,Good night twitter friends - I'm nodding off at the 'puter,9
1957369983,neutral,SnappyTouch,"@yarivs Storysize is 2 (and it's posted as a short story, not one liner), but doesn't show up in any news friends can see. Only in wall",9
1957372522,sadness,Rachecullen,@Lil_maggie you okay? i miss you @tanyadenalilove im sad you didnt text todayh,11
1957376490,sadness,ilsepla,"what is love!? baby don't hurt me, don't hurt me, no more. I WANT TO WATCH 'NIGHT AT THE RUXBURY' RIGHT NOW!!!!",5
1957378234,relief,creativeoutcast,"I just want somebody to love, and who loves me. I think and day-dream about about that CONSTANTLY.",8
1957381185,worry,twinkljiawenni,"When the weather's... ugh, something like asthma. So, yeah, Ventolin.",1
1957383698,neutral,stuandem,Mudweight hauled in for last time by @dandypig  http://yfrog.com/0zr2jqj,9
1957387163,happiness,tetradian,"@rettema &quot;might be interested&quot; - thanks, I was: I came, I saw, I winced..  too much like Flatland http://bit.ly/12f0y",2
1957388601,sadness,Lalutza,it's pretty cold outside  today i got another exam...,11
1957391560,love,mel95,I love music so much that i've gone through pain to play :S my sides of my fingers now are peeling and have blisters from playing so much,8
1957393357,worry,qlotusboy,Omg... Prison break... The final break. The two episodes that only aired in the uk. Wow. Watch them if you haven't. Soo sad. Tear,11
1957396215,sadness,micooper1,Ugh our two week push to produce a six pack has produced nothing but pain!,1
1957398563,neutral,MegsEggs,@laubow_  me too!,9
1957400770,sadness,twiri,"having the flu, not the swinish-one, but the flu.",11
1957403480,worry,CatherineSam,Trying to get to sleep but my migraine is getting in the way,11
1957404492,neutral,tishh,@leslieyuko mine too,9
1957408311,neutral,onedrgirl,thinks Coast Capital sent her work number to telemarketers,13
1957410705,neutral,xoxobethy,i have much to learn,9
1957412353,surprise,Royal_S_Ent,@jlynn242001 ur there when I'm not  lol,9
1957414055,neutral,flossybunny,Sitting waiting for an exam to start,13
1957416738,sadness,hermorrine,"@Branwen6277 I'm better today.  Yesterday was really hard.  It's still just so unbelievable.  I miss him, too... and probably always will.",11
1957421436,neutral,Diablo5163,IT DIDN'T WORK,11
1957424353,neutral,munineye,listens to MSI and bakes banana bread. How weird is she? Remarkably not so much anymore.,9
1957426142,worry,scottairth,"Youtube's tubes appear to be clogging up somewhat today, connection errors a plenty.",2
1957429060,worry,Kaydeescrafts,I went green yesterday and I was out so I missed it  do I get another certificate????,9
1957430094,sadness,adelina_s,stupid weather,
1957432831,worry,SexyKellyC,@songbookbaby lol. u got AC right? u know it's getting chill here again...  n its gona rain tmr,9
1957434786,worry,goodwill,vmware fusion seems getting slower and slower,13
1957439470,love,Lizziedeh,@soscandalous love you ::hugs:but i'm not seeing anything...wondering if i'm doing something wrong),8
1957442173,hate,ihatecrayons,@she_shines92 aww that sucks,11
1957444831,worry,JamilaL,"@tonibraxton Will you ever come to SF Bay Area to preform, i feel left out",13
1957445998,surprise,burlybugger,So it's Friday... I have to keep reminding myself since every day seems the same,2
1957448065,worry,johnnydonovan,I feel like I'm on alott of drugs,
1957450274,sadness,akulbanskiy,Epic ocd moment? I deleted my sims file that i spent hours building just because i set his favorite food wrong,11
1957452685,worry,taralovesmochi,"feels sorry every time I'm printing out, I use like 200 new papers",11
1957455270,worry,EmmaaCluniee,Ill in bed my stomach is killing me,11
1957457743,worry,especial_53,@iFollowMike ugh I'm not doin too good,1
1957459378,sadness,osmg33k,is very cold,11
1957460735,worry,je72,"Back from A&amp;E, very nice Doctor diagnosed ligament damage, she felt I could still do my 5k run, but it might take me 10 days to heal",10
1957462405,sadness,shinsh0ku,boo for all the season finales..,11
1957464216,sadness,chrismbr,@Vzzzbx I'm glad/sad that it's not just me/my iPhone  #badoptus,11
1957466267,neutral,victoriavictor,I give in to easily,1
1957468844,neutral,HollywoodMaxi,I need a present for my mom.  Could anybody help me ?!,9
1957471166,worry,damohopo,"@thatlass yeah, it's gonna be rubbish!",1
1957473438,sadness,tywhite,SF felt WAY too intense for me tonight. Hope that doesn't keep up. Upset with myself for not hanging with @fascinated and pearl,1
1957475168,worry,CraigHarris,5500 words and counting.  My hands hurt,2
1957477011,sadness,minauderie,@OpheliaPunk i wish i wasn't all  bummed but i kinda am,11
1957479384,worry,Broooooke_,@AlexAllTimeLow aww  cant wait till u get 2 Sydney ;D i missed out on tickets tho.. :O xxx,5
1957481237,neutral,Emmanuel_7,3) I really want to see &quot;Up&quot;,4
1957483056,neutral,GeminiJS,I guess I'm just not smoking tonight,9
1957484797,neutral,Sebyola,playing bejewled on facebook.. damn it i want a higherscore!,4
1957486370,hate,sheh,hates typing on a mac. wishing that i'll be done my english essay soon.  sleeeepy,11
1957489791,happiness,dreamsthedream,@carocat Nooo  But hey you're back next week! Are you moving back for good?,12
1957492349,worry,Naibabi,"@dawndela yeh still have the weekend, but I get weekends anyways, today is my full last day of vacation time",9
1957495122,sadness,DandelionQueen,"Damn, 4got to turn off my alarm so I woke up at 5:45am",11
1957497165,worry,simplyvinay,"Want to get my hands dirty with FubuMVC. http://bit.ly/J00ha, but the documentation is not yet complete",
1957500308,worry,Rhainnon90,is bored at school and my throat it swollen,2
1957501955,surprise,cleslie92,"Ok, ahhh! Last chance to go into school before chemistry exam!!",12
1957503296,love,bdiddy77,I loved johnny carson now I'm going to hate seeing jay leno go  (via @womanschitchat) that's what I was waiting for someone to say!,7
1957505158,neutral,babyowls,@pyroezra but you should move here! I have school.,9
1957508197,fun,vinithasaira,yummy chocolate cake..wish even i got one for my b'day!!   anybody listening???,11
1957509861,worry,SweetBullshit,I wish I could go back to bed with @wowshaggy,11
1957511769,worry,roaraaa,i feel less than nothin'.. lower than zero..,11
1957514387,fun,_shellzbellz,@SplashAdams ill be alright but the whip may not,1
1957516437,happiness,ChasityBelt,"Morning twitties! Heading to college, just back from the docs, god I'm hungry  streching my ears again today! 10mm ;) payday I love you!",4
1957518896,worry,Jack_O_C,...I have to study ....,13
1957520347,worry,HankKeleher,@MaryKathrynK Yikes!  I hope she was okay.  I never her heard her say her tummy hurt.,11
1957522313,worry,thezachkoche,"Whataburger closing all locations but tally  so harsh, might have to transfer schools",11
1957524669,happiness,writepudding,"@mitch_400iso Me too, she was adorable and you could tell the pressure got to her.",9
1957527906,sadness,madeofmilk,@madeofhoney1 im sorry. i dont wanna cuz of how u act. u just turn right around and ignore me and all that,1
1957529624,sadness,sushmeet,why not everything workout as you planned.,11
1957531493,worry,melarno,@alabamawhirly I'll be stuck inside the office all day today,9
1957533699,enthusiasm,RopeMarksMuse,"At work   leave for Berlin at 17:00 by car, will be a late arrival",9
1957534508,worry,SHAMfreakinWOW,"@ajaedandridge  ummm...last night when I DM'd you, you said it was a &quot;good&quot; question.",9
1957537632,neutral,squeekycheese,has woken up feeling a little special...i dont thing drink the bar dry is on the cards. when i finally sober up its home time i think,11
1957539161,neutral,Irishcreamy,They're gone.,11
1957542271,worry,itsANDRIANx3,You guys dont get too drunk without me,5
1957544941,love,sydeshow,http://twitpic.com/666gy - My glass is empty. Will someone be a dear and fetch me another?,9
1957547323,relief,eriol78,I am soooo  right now!,4
1957549564,sadness,kreativsounds,"Google Wave presentation: http://bit.ly/2ehfov  I'm not very impressed. It's nice, but it's not really for me",9
1957552900,worry,honeyteodoro,how i wish the result IS true...,12
1957553916,sadness,MLB_ChiVino,Going to miss my roomie @Staycy... We will no longer be roomies starting tomorrow,11
1957557232,empty,shartlesville,"I had 2 buy a new washer, bought the dryer 2.  Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return it.",1
1957558782,worry,cheer_babe2013,Can't freakin sleep and i have a horrible stomach ache,11
1957561232,surprise,micooper1,yea dude... 5'8&quot;! really!?,12
1957562993,sadness,ginaveee,@elmers10 miss u more,8
1957564346,sadness,krystlefershiz,"Just got finished watching marley and me, and I cried like a fucking baby...I'm missing my beast like crazy!",11
1957566708,surprise,natamari,@iSpyLevis nooooooooo i just got into my pyjamas!,11
1957570514,sadness,michaelalacey,"Gutted, been invited to a bbq tomorrow night, gonna miss the BGT final   ...Wonder if they can wheel the TV outside??",11
1957571940,sadness,kittycatemeow,"i lost all my friends, i'm alone and sleepy..i wanna go home",11
1957574479,surprise,Heffertron,what a lovely summery morning! Shame I have to be in work!!!!,1
1957578230,worry,misskittymarie,why is it so hard to find good house events in the Sacramento area?,9
1957581680,worry,kayla_chantel,In bed can't sleep .... Something is missing.....,11
1957583581,hate,tieandshades,Okay I'm seriously bored. I have nothing to do. I can't go out cause it's raining.,2
1957585499,worry,kimimd2b,Can't sleep bc I know I have to be up early !,13
1957587498,sadness,MikeTheTech,I have not been this sick in years. OMG. This sucks so bad. Sickness ended up including a full restroom cleanup.,1
1957589662,neutral,geo2011,I just spent 2 hours looking for a blog topic and ended up inventing my own.  grrrr    http://bit.ly/QRz6y,1
1957591849,sadness,xLakeEffectKid,"@MarkK_H when you wake up, tweet me and let me know when ur on msn. I really need to talk to you  miss you",13
1957594049,surprise,rainonmyparade,i thought it was already winter. turns out winter has even started,9
1957596055,sadness,lottie_89,@BK_II I have no choice  have to get on it!,13
1957599694,worry,magia3e,Is anyone's #visialvoicemail working. Have done the sync. Turned off &amp; on. But still not going  Help?,13
1957601859,sadness,xPrincess_Danax,Its a lovely day sky is clear birds are singing and i'm stuck in an office with on windows for 9 hours,11
1957605220,worry,stevedisme,"@DreamnetFaith69 I will have spent my allowance at cybernet expo in SF by then  send me a dm with rates, tho, mayb cash flo bttr 4 me then",9
1957607620,neutral,jtetsuya,All of a sudden I'm craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...,5
1957611008,worry,TaratheDiva,I think i should go to sleep considering i hav to b up on 3hrs....,13
1957612640,worry,wampykitty,@dean_b if I drive home now I think I am breaking the laws?  Tooooooo many dranks.  Toooooo many. I am stuck in MF burbank.,1
1957614755,neutral,ilser6,@mikebthatsme ugggh idk how to do that  but i only wanna stop getting texts from twitterr  -ilsE*,1
1957616813,worry,hippyhayley,so cold,11
1957617858,happiness,emma_BMTH,"laughed so much today over that picture of lauren, that my chest hurts.",5
1957620391,worry,amoorejones,Have been feeling very sick    had day off today... ARRRGH,1
1957623666,worry,sk1995,Hear @jonasbrothers full album preview during todays webcast!  #jonasnewsongs NO WAYYY I couldn't 'tune in',12
1957625271,worry,nadiaishere,Busy.. Busy.. Busy.. :S Wont be on Ning for few days.,9
1957629160,love,prasoonk,No http://twtvite.com/3koyqo #twtvite #aptw Have to miss this now because of other engagements,9
1957630949,sadness,Rohan_01,@HoneyJune k... i guess i cant help it.... byeee 4eva....  (m really sad),11
1957632896,sadness,ChloeBell13,back at work  its too warm to be in here today!!!,2
1957634550,love,5rob,They changed the way Golden Gaytimes are made. They used to be awesome.,1
1957636726,sadness,electromarkie,@rawrgoesaimee Ah bibisita ka kina GQ bukas o  sasama ka sa Rushers EB? I won't be able to visit Jumpstart tom coz I have something to do,9
1957637615,neutral,amandakara,"@TimmyNess for cervical cancer, I have to get 2 more",11
1957639281,sadness,ChimeraX,"Already 26.1c in our office. Can people melt? We're fighting for air con because fans just don't help, but can't find the budget",13
1957640805,relief,ohhcarissa,Tucking myself in tonight  Mogwai on repeat,9
1957642933,sadness,MarkPower,@kathtrinder @samscam what's that? The sun? No sign here,9
1957646585,sadness,MegsEggs,It's too hot to be sat in an office!  I wanna be out in the sun shineeeee.,5
1957648426,neutral,ArualSnikpoh,@Jewel_Lia Should have grabbed some on the way to work,9
1957650618,worry,Nessaspeaks,@wizofozgurl I think I'm going to be the only lame person to cry for Jay's last episode...lol... I wish I were able to go,11
1957653553,worry,Marquise21,@peacelovetylr Help i need the stalker police can you give me their number,13
1957655903,worry,letronje,"@nikhilbelsare exactly the same problem i am having with pure classical music, i cant njoy it",2
1957657600,neutral,piggybum,l need some more aussies !,12
1957659322,neutral,clarebearXD,emily is over tonight XD work experience is over. Jen I'm  going to miss seeing you like everyday,10
1957662946,worry,MadisonKellyNYC,"@iprmktg Haaay are those the Kettle black joints???  I have them in black!!! Super dope, just wished they came in gold!!!",5
1957664223,enthusiasm,CraigMillett,UP was awesome! Everyone should go see it.  But the stupid theatre didn't show the Pixar short film.,
1957666939,surprise,aussyaa,Woke up and there was sun! And then it started to rain,12
1957669715,surprise,GeoAtreides,"Uuu, am din nou PR 4. Yeey, my epenis is now bigger! ... ... ...",
1957672425,worry,Pica85,I don't know what this is all about  but I'm goin to sleep,9
