"","tweet_id","sentiment","author","content","gemini"
"50",1957083056,"neutral","Rmgrooms","Can't sleep and nothings on tv!!","boredom"
"51",1957084552,"neutral","Mari8275","@dorkydeanna IIII know!!! and mean","anger"
"52",1957086168,"neutral","lpstewie","@heavyharts that sucks  well state starts tomorrow so im headin 2 bed, nitey nite","sadness"
"53",1957088340,"neutral","pezz361356","@miss_cheryl Lucky, now I want to teleport","surprise"
"54",1957090408,"sadness","divinedreams4me","@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack","sadness"
"55",1957092017,"sadness","Tinatru","@brianshead waah. We're no longer your peeps.","anger"
"56",1957093924,"neutral","mrs_mcsupergirl","@monpio i don't have any of that","neutral"
"57",1957097329,"surprise","karinb_za","@astynes Me too.  Wonder if Mnet will show it...","neutral"
"58",1957099757,"neutral","aerynblack","@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes","neutral"
"59",1957102266,"worry","name_me_aly","depressed that i wasn't included in the morcom gardens quiz on facebook","sadness"
"60",1957104001,"worry","missbossy","@RDeRozario woops! I only just realized my DMs to you are not going through","anger"
"61",1957106328,"sadness","alyssainescruz","#jonaswebcast i just missed it!!!!","surprise"
"62",1957109545,"worry","RobertAlbrecht","Cannot sleep. 2+ hours of tossing and turning.","worry"
"63",1957111702,"worry","ChelseyChapman","@AshleighRyder I knooww  &amp; my hot water bottle iss in whangamata without me. ahhhhh","sadness"
"64",1957113650,"sadness","janinebonilla","@chrisontv88 btw I am not a wimp","neutral"
"66",1957117307,"neutral","Munder11","@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;","worry"
"67",1957119780,"love","johnholdun","@IkramShahnawaz Oh I love 'em, but when I think about the kind of preservatives they're using to stay &quot;just-baked&quot; it kinda makes me sick","love"
"68",1957121753,"worry","Kay_Dazzle","@Tiff_Tiff_Marie  I think I do it too much....","neutral"
"69",1957123469,"worry","billydrag","At Rocky Cola Diner in Whittier tonight with teacher pal Mr. B, we had a great time chatting but no one else came...","neutral"
"70",1957125791,"worry","flyingspaceship","@zhenerak I thought I was your best friend?","anger"
"71",1957128727,"sadness","caleighbenson","tummy ache.","sadness"
"72",1957131233,"empty","miszundastood","Is ANYBODY up? .... I'm sooo bored!","boredom"
"73",1957133079,"neutral","sukasukaariska","Damn, hi Facebook ? what's wrong with you ? can't add photos","anger"
"74",1957134780,"worry","marci723","@RockedByPickler well I don't have vacations so let's NOT go there","neutral"
"75",1957137074,"sadness","kerriruta","i miss oklahomaaaaa  listening to citizen cope til i pass out.","sadness"
"76",1957139854,"sadness","team_sleep","Jenny fell asleep and didn't come over","sadness"
"77",1957142001,"sadness","MadisonMitchell","@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.","worry"
"78",1957144205,"worry","GauravSaha","@RitikaKar  http://bit.ly/179jxS But gotta wiat till next week  btw...you from Mumbai itself?","neutral"
"79",1957145833,"neutral","baneen","@curligirl morning hon. what you having for breakfast? I cant decide","neutral"
"80",1957147399,"sadness","shermaineee","how to have a glowing face? my complexion is always so pale","neutral"
"81",1957148955,"love","Adalias_Grave","i no i no bt i had only been a gamer for like 2 years when i made that attempt  lol yea i luvd F1 to an extent @yellowshirts","neutral"
"82",1957150332,"worry","Cherye101","@4EvaAFanOfPaula hun are you okay? I see alot of your posts your exercising like mad,not eating or sleeping","worry"
"84",1957154062,"worry","katertotter","@mayora not this part, unfortunately.","neutral"
"85",1957156210,"worry","Joannazhou","4 very big ???zongzi) for lunch, ate more, but not work more.Work less but eat more, what  can I do w/h it? Too useless become.","sadness"
"86",1957158993,"worry","ashtangi_paul","Nursing bruises from motorbike crash on Wednesday night leaving London workplace. The ground is so much harder the older you get","sadness"
"87",1957160843,"hate","victoriaaa_","@calvinharris make the most of pork products while you can, they've fucking stopped importing it here in dubai. bad times","anger"
"88",1957163020,"neutral","camiv93313","K, goodnight! Gotta do Chuck E Cheese tomorrow following kindergarten shots and physical... Bla","neutral"
"89",1957165874,"neutral","At3f3h","@ecctv If it makes you feel better I lost 10 overnight cause I posted a picture of a baby","anger"
"90",1957168110,"worry","kin_meng","I am dying to hangout on a Friday afternoon...","enthusiasm"
"91",1957169248,"worry","AliciaVelasquez","class color day tomorrow! last time!  I have a lot to remember for tomorrow but I bet I'll forget -_-","worry"
"92",1957172370,"surprise","WillSpringfield","FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!","anger"
"93",1957174342,"empty","ErictheAzn","@allyycase I'm trying to sleep!!! It's not working","boredom"
"94",1957176357,"sadness","jasku","Blackout in the city is never good","worry"
"95",1957180100,"worry","MARCisaballa","My tongue still hurts.  I need to sleep!!!","sadness"
"96",1957182181,"worry","eberhartn","Playn madden with austin. Im going to miss him..","sadness"
"97",1957184403,"neutral","kaushal","@sakshijuneja ok that's subtly saying i'm no longer a fave  temme 1 thing - did the firangs steal your vocab? ur eating words and how!","anger"
"98",1957188806,"hate","maojoa","feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!","hate"
"99",1957190291,"sadness","TimRogers","@sfannah Ahhhhh  Well at least I'm up to!","surprise"
"100",1957191925,"worry","OnyxWolf","I can't sleep. I can't find my grandmother's quilt or locket. I'm sick at myself cause I may have lost them somehow. Or they were stolen","sadness"
"101",1957193022,"worry","HalfCentaur","@Sageey My public talk in July got canceled and I don't know why.","sadness"
"102",1957195244,"sadness","She_shines92","@theblackestsea oh crap!!","surprise"
"103",1957196825,"sadness","gemmy628","I'm so unhappy being here. I hate it. It's affecting everything. My relationships with people, my personality, my attitude...","hate"
"104",1957198814,"sadness","KatrinaMarieee","The 3d version of Up sold out   regular version it is!","neutral"
"105",1957202373,"fun","Embabe09","@Jukie_08 hell yeah! i missed u last nite  lol do u like my opinion?","fun"
"106",1957204516,"worry","matthysbakker","Missed my train by 5 secs  yesterdaynight knijp, jaap &amp; flashback. Now sitting on the blisters. If you know what I mean. ;)","sadness"
"107",1957206336,"worry","RochelleReyes","Finally watched the rest of The Guild Season 2. I always feel so sorry (and hopeful at the same time) for your char, @feliciaday","neutral"
"108",1957207781,"enthusiasm","kinarodriguez","Only one more day of Jay Leno  que sad!","sadness"
"109",1957210815,"surprise","dangergianni","@FriendlyFetus cause they changed man....","anger"
"110",1957213816,"neutral","cindyleigh","@RichardGiles mine pools... just in someone elses pocket","anger"
"111",1957216776,"sadness","PetteB","Wish I was at sri panwa now","surprise"
"112",1957218793,"hate","DInstros","dam it keeps rainin on me","sadness"
"113",1957221717,"worry","SheeqS","4 cases of swine flu!","worry"
"114",1957224476,"surprise","ItsTheNeeNee","My Pandora is hitten hard, why can't real radio play great music like this","anger"
"115",1957227155,"neutral","JenniferRhea","Just finished watching &quot;Marley and Me&quot;","sadness"
"116",1957228449,"sadness","serinurshira","I'm going to miss Miss Suhana","sadness"
"117",1957230570,"love","MolliexD","just got Up and going to get ready to go to meadowhall ;) can't believe my internet broke yesterday  GUTTED","sadness"
"118",1957233475,"neutral","neonpowerbomb","@gettothefalcon i miss that too","sadness"
"119",1957236960,"neutral","laurenggraves","Jay Leno has one more show left as the host of The Tonight Show","neutral"
"120",1957238725,"sadness","ghulai","says I'm still dreaming about that Nikon D60..erRr!  *ate, kuya **PLEASE** lang* huhuh http://plurk.com/p/wxrx5","sadness"
"121",1957241204,"empty","KINGmoney","@makavellirayne nah the lights killed the mood now you got to get out my bed","anger"
"122",1957243017,"love","Amanda702","Looking at old pictures... I love it &amp; miss the good ol days","love"
"123",1957245151,"neutral","Joshuah_Pearson","@CHARITY_GANT popularity contest and they think twitter will help.... and it's become trendy","anger"
"124",1957247328,"sadness","kasiandra","Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!","anger"
"125",1957249452,"sadness","_erica","@kesoleil Oh man, Did Yogg today. Worse than last week.","sadness"
"126",1957252272,"worry","patep34","worried about Mr. Socks tonight.","worry"
"127",1957256797,"worry","Lunarcraft","Again working on the internet shop ... don't think we will achieve the goal of uploading by the previously set time   Will keep going","worry"
"128",1957260020,"worry","vaowen","Can't get the sound to work while on DVD. I was going to watch Mary Poppins.","boredom"
"129",1957263518,"neutral","shoptilldrop","i sooooooooo dont want to go to work today to nice outside.","boredom"
"130",1957265830,"sadness","TonyPrice1970","I hate working nights, cos I'm not really able to enjoy this gorgeous weather, as I will be asleep","hate"
"131",1957267208,"worry","AlluringBri","i wish people would leave jon &amp; kate alone  i really like that show","neutral"
"132",1957270955,"sadness","BrittanyRenee92","is tired of summer already","boredom"
"133",1957273413,"sadness","Shitfuckdamn","@Trentskers Pfftt... I wish. Don't have time though.","boredom"
"134",1957277936,"worry","bigenya","@overlordtrainee Sigh. It is a sad, lonely profession.","sadness"
"135",1957279773,"worry","coolakool7","@againtoday i'm hear ya dude, i can't either","neutral"
"136",1957282768,"neutral","thecrimedonkey","@_anniemay OMG No fair","anger"
"137",1957285346,"enthusiasm","JosBirken","Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn't subtract the pic URL from the 140 character limit","boredom"
"138",1957287721,"neutral","kasiandra","rented bikes + unknown trail with random bumps + big hills + kids = one beat up little girl. Not a good day on the B family vacation.","sadness"
"139",1957290428,"sadness","shmerin","The fam back on the Big Island said the vog has been so bad that they can't see the ocean. Sad!","sadness"
"140",1957292590,"fun","thatgirlFel","@OXtravaganza and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.","fun"
"141",1957295065,"sadness","hellocuppycake","@madeleinelaurin whys your cat in pain?","worry"
"142",1957298429,"neutral","theanand","@vivzy wanted to change my handset covers, pen drives and a headphone in some place..guess its not happening...","neutral"
"144",1957302602,"happiness","gyurnec","@captainboots  YOU'RE FAKING IT! Hahaha...I kid.","fun"
"145",1957305294,"sadness","maehashi","@irkengir No. As a result, the salary is a decrease","anger"
"146",1957308753,"love","emmmahh","aw. nick got his heart broken.  poor baby. i love you!","love"
"147",1957312495,"happiness","achura","@pourmecoffee I won my 5th grade spelling bee. Went down trailing flames on 1st word at county spelling bee  http://post.ly/geb","surprise"
"148",1957314701,"worry","laneymarie7","i cant sleep","sadness"
"149",1957317304,"neutral","FashionistaJay","@Burgandy1 Girl I know!","surprise"
"150",1957319044,"fun","AlyshiaSheree","@TerrenceJ106  aww-that's my last one. Roo-Oop","surprise"
"151",1957321147,"neutral","snishemoto","gahh!! i'm so tired right now.","anger"
"152",1957323890,"neutral","libster_t","i have nothing to do","boredom"
"154",1957331263,"sadness","RAQUELchea","its 2:08 am. I CAN'T SLEEP!!!!!  i thought it was b/c im hungry, so i whipped up a pb&amp;j with milk. hopefully it works!!!!","worry"
"155",1957333645,"sadness","chalenasmiles","Tired. About to climb into bed and fall asleep. I hope this weekend will be fun... I only have a couple of weeks left","neutral"
"156",1957336804,"sadness","bigenya","@Meikah Hala, I do not know that one.  Shame on me.","neutral"
"157",1957339781,"worry","faiththiang","@ErikVeland Dude... That sucks! Why would they tow it from your own space?","anger"
"158",1957342084,"neutral","jessicadbrewer","@arania nope i cant figure out how to get the updates on my blackberry. . . i need to go running too","neutral"
"159",1957345815,"sadness","skrivkoop","Today feels like friday. Too bad its not","boredom"
"160",1957347056,"neutral","aDDuSQa","iï¿½m ill.. bueeee..","sadness"
"161",1957349129,"worry","bigmadkev","Morning all: Looks like no Nintendo Gameboy phone","neutral"
"162",1957351445,"surprise","AlyssaDiaz95","@deezeen I know, pero available na yata eh. Sa Singapore, though!","neutral"
"163",1957353973,"sadness","Mr_GaGa","@msalonen I feel like a Truck just hit me too! I also Resemble a man hit by a truck!","anger"
"164",1957357361,"happiness","emcrxtna","@ahhrjay useless tweet! LOL jk yay!!! You're coming tmr! How long u gnna be in phils for  ?","fun"
"166",1957362899,"sadness","_erica","OMG. Period cramps are FTL. So much pain.","sadness"
"167",1957364890,"surprise","jelaniharris","I thought that there was going to be another Def Jam Fighting game, but then it turned out to be crappy karaoke game. I miss the fighting","anger"
"168",1957366702,"empty","DiscoverClocks","Good night twitter friends - I'm nodding off at the 'puter","neutral"
"169",1957369983,"neutral","SnappyTouch","@yarivs Storysize is 2 (and it's posted as a short story, not one liner), but doesn't show up in any news friends can see. Only in wall","neutral"
"170",1957372522,"sadness","Rachecullen","@Lil_maggie you okay? i miss you @tanyadenalilove im sad you didnt text todayh","sadness"
"171",1957376490,"sadness","ilsepla","what is love!? baby don't hurt me, don't hurt me, no more. I WANT TO WATCH 'NIGHT AT THE RUXBURY' RIGHT NOW!!!!","fun"
"172",1957378234,"relief","creativeoutcast","I just want somebody to love, and who loves me. I think and day-dream about about that CONSTANTLY.","love"
"173",1957381185,"worry","twinkljiawenni","When the weather's... ugh, something like asthma. So, yeah, Ventolin.","anger"
"174",1957383698,"neutral","stuandem","Mudweight hauled in for last time by @dandypig  http://yfrog.com/0zr2jqj","neutral"
"175",1957387163,"happiness","tetradian","@rettema &quot;might be interested&quot; - thanks, I was: I came, I saw, I winced..  too much like Flatland http://bit.ly/12f0y","boredom"
"176",1957388601,"sadness","Lalutza","it's pretty cold outside  today i got another exam...","sadness"
"177",1957391560,"love","mel95","I love music so much that i've gone through pain to play :S my sides of my fingers now are peeling and have blisters from playing so much","love"
"178",1957393357,"worry","qlotusboy","Omg... Prison break... The final break. The two episodes that only aired in the uk. Wow. Watch them if you haven't. Soo sad. Tear","sadness"
"179",1957396215,"sadness","micooper1","Ugh our two week push to produce a six pack has produced nothing but pain!","anger"
"180",1957398563,"neutral","MegsEggs","@laubow_  me too!","neutral"
"181",1957400770,"sadness","twiri","having the flu, not the swinish-one, but the flu.","sadness"
"182",1957403480,"worry","CatherineSam","Trying to get to sleep but my migraine is getting in the way","sadness"
"183",1957404492,"neutral","tishh","@leslieyuko mine too","neutral"
"184",1957408311,"neutral","onedrgirl","thinks Coast Capital sent her work number to telemarketers","worry"
"185",1957410705,"neutral","xoxobethy","i have much to learn","neutral"
"186",1957412353,"surprise","Royal_S_Ent","@jlynn242001 ur there when I'm not  lol","neutral"
"187",1957414055,"neutral","flossybunny","Sitting waiting for an exam to start","worry"
"188",1957416738,"sadness","hermorrine","@Branwen6277 I'm better today.  Yesterday was really hard.  It's still just so unbelievable.  I miss him, too... and probably always will.","sadness"
"189",1957421436,"neutral","Diablo5163","IT DIDN'T WORK","sadness"
"190",1957424353,"neutral","munineye","listens to MSI and bakes banana bread. How weird is she? Remarkably not so much anymore.","neutral"
"191",1957426142,"worry","scottairth","Youtube's tubes appear to be clogging up somewhat today, connection errors a plenty.","boredom"
"192",1957429060,"worry","Kaydeescrafts","I went green yesterday and I was out so I missed it  do I get another certificate????","neutral"
"194",1957432831,"worry","SexyKellyC","@songbookbaby lol. u got AC right? u know it's getting chill here again...  n its gona rain tmr","neutral"
"195",1957434786,"worry","goodwill","vmware fusion seems getting slower and slower","worry"
"196",1957439470,"love","Lizziedeh","@soscandalous love you ::hugs:but i'm not seeing anything...wondering if i'm doing something wrong)","love"
"197",1957442173,"hate","ihatecrayons","@she_shines92 aww that sucks","sadness"
"198",1957444831,"worry","JamilaL","@tonibraxton Will you ever come to SF Bay Area to preform, i feel left out","worry"
"199",1957445998,"surprise","burlybugger","So it's Friday... I have to keep reminding myself since every day seems the same","boredom"
"201",1957450274,"sadness","akulbanskiy","Epic ocd moment? I deleted my sims file that i spent hours building just because i set his favorite food wrong","sadness"
"202",1957452685,"worry","taralovesmochi","feels sorry every time I'm printing out, I use like 200 new papers","sadness"
"203",1957455270,"worry","EmmaaCluniee","Ill in bed my stomach is killing me","sadness"
"204",1957457743,"worry","especial_53","@iFollowMike ugh I'm not doin too good","anger"
"205",1957459378,"sadness","osmg33k","is very cold","sadness"
"206",1957460735,"worry","je72","Back from A&amp;E, very nice Doctor diagnosed ligament damage, she felt I could still do my 5k run, but it might take me 10 days to heal","relief"
"207",1957462405,"sadness","shinsh0ku","boo for all the season finales..","sadness"
"208",1957464216,"sadness","chrismbr","@Vzzzbx I'm glad/sad that it's not just me/my iPhone  #badoptus","sadness"
"209",1957466267,"neutral","victoriavictor","I give in to easily","anger"
"210",1957468844,"neutral","HollywoodMaxi","I need a present for my mom.  Could anybody help me ?!","neutral"
"211",1957471166,"worry","damohopo","@thatlass yeah, it's gonna be rubbish!","anger"
"212",1957473438,"sadness","tywhite","SF felt WAY too intense for me tonight. Hope that doesn't keep up. Upset with myself for not hanging with @fascinated and pearl","anger"
"213",1957475168,"worry","CraigHarris","5500 words and counting.  My hands hurt","boredom"
"214",1957477011,"sadness","minauderie","@OpheliaPunk i wish i wasn't all  bummed but i kinda am","sadness"
"215",1957479384,"worry","Broooooke_","@AlexAllTimeLow aww  cant wait till u get 2 Sydney ;D i missed out on tickets tho.. :O xxx","fun"
"216",1957481237,"neutral","Emmanuel_7","3) I really want to see &quot;Up&quot;","enthusiasm"
"217",1957483056,"neutral","GeminiJS","I guess I'm just not smoking tonight","neutral"
"218",1957484797,"neutral","Sebyola","playing bejewled on facebook.. damn it i want a higherscore!","enthusiasm"
"219",1957486370,"hate","sheh","hates typing on a mac. wishing that i'll be done my english essay soon.  sleeeepy","sadness"
"220",1957489791,"happiness","dreamsthedream","@carocat Nooo  But hey you're back next week! Are you moving back for good?","surprise"
"221",1957492349,"worry","Naibabi","@dawndela yeh still have the weekend, but I get weekends anyways, today is my full last day of vacation time","neutral"
"222",1957495122,"sadness","DandelionQueen","Damn, 4got to turn off my alarm so I woke up at 5:45am","sadness"
"224",1957500308,"worry","Rhainnon90","is bored at school and my throat it swollen","boredom"
"225",1957501955,"surprise","cleslie92","Ok, ahhh! Last chance to go into school before chemistry exam!!","surprise"
"226",1957503296,"love","bdiddy77","I loved johnny carson now I'm going to hate seeing jay leno go  (via @womanschitchat) that's what I was waiting for someone to say!","hate"
"227",1957505158,"neutral","babyowls","@pyroezra but you should move here! I have school.","neutral"
"228",1957508197,"fun","vinithasaira","yummy chocolate cake..wish even i got one for my b'day!!   anybody listening???","sadness"
"229",1957509861,"worry","SweetBullshit","I wish I could go back to bed with @wowshaggy","sadness"
"230",1957511769,"worry","roaraaa","i feel less than nothin'.. lower than zero..","sadness"
"231",1957514387,"fun","_shellzbellz","@SplashAdams ill be alright but the whip may not","anger"
"232",1957516437,"happiness","ChasityBelt","Morning twitties! Heading to college, just back from the docs, god I'm hungry  streching my ears again today! 10mm ;) payday I love you!","enthusiasm"
"233",1957518896,"worry","Jack_O_C","...I have to study ....","worry"
"234",1957520347,"worry","HankKeleher","@MaryKathrynK Yikes!  I hope she was okay.  I never her heard her say her tummy hurt.","sadness"
"235",1957522313,"worry","thezachkoche","Whataburger closing all locations but tally  so harsh, might have to transfer schools","sadness"
"236",1957524669,"happiness","writepudding","@mitch_400iso Me too, she was adorable and you could tell the pressure got to her.","neutral"
"237",1957527906,"sadness","madeofmilk","@madeofhoney1 im sorry. i dont wanna cuz of how u act. u just turn right around and ignore me and all that","anger"
"238",1957529624,"sadness","sushmeet","why not everything workout as you planned.","sadness"
"239",1957531493,"worry","melarno","@alabamawhirly I'll be stuck inside the office all day today","neutral"
"240",1957533699,"enthusiasm","RopeMarksMuse","At work   leave for Berlin at 17:00 by car, will be a late arrival","neutral"
"241",1957534508,"worry","SHAMfreakinWOW","@ajaedandridge  ummm...last night when I DM'd you, you said it was a &quot;good&quot; question.","neutral"
"242",1957537632,"neutral","squeekycheese","has woken up feeling a little special...i dont thing drink the bar dry is on the cards. when i finally sober up its home time i think","sadness"
"243",1957539161,"neutral","Irishcreamy","They're gone.","sadness"
"244",1957542271,"worry","itsANDRIANx3","You guys dont get too drunk without me","fun"
"245",1957544941,"love","sydeshow","http://twitpic.com/666gy - My glass is empty. Will someone be a dear and fetch me another?","neutral"
"246",1957547323,"relief","eriol78","I am soooo  right now!","enthusiasm"
"247",1957549564,"sadness","kreativsounds","Google Wave presentation: http://bit.ly/2ehfov  I'm not very impressed. It's nice, but it's not really for me","neutral"
"248",1957552900,"worry","honeyteodoro","how i wish the result IS true...","surprise"
"249",1957553916,"sadness","MLB_ChiVino","Going to miss my roomie @Staycy... We will no longer be roomies starting tomorrow","sadness"
"250",1957557232,"empty","shartlesville","I had 2 buy a new washer, bought the dryer 2.  Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return it.","anger"
"251",1957558782,"worry","cheer_babe2013","Can't freakin sleep and i have a horrible stomach ache","sadness"
"252",1957561232,"surprise","micooper1","yea dude... 5'8&quot;! really!?","surprise"
"253",1957562993,"sadness","ginaveee","@elmers10 miss u more","love"
"254",1957564346,"sadness","krystlefershiz","Just got finished watching marley and me, and I cried like a fucking baby...I'm missing my beast like crazy!","sadness"
"255",1957566708,"surprise","natamari","@iSpyLevis nooooooooo i just got into my pyjamas!","sadness"
"256",1957570514,"sadness","michaelalacey","Gutted, been invited to a bbq tomorrow night, gonna miss the BGT final   ...Wonder if they can wheel the TV outside??","sadness"
"257",1957571940,"sadness","kittycatemeow","i lost all my friends, i'm alone and sleepy..i wanna go home","sadness"
"258",1957574479,"surprise","Heffertron","what a lovely summery morning! Shame I have to be in work!!!!","anger"
"259",1957578230,"worry","misskittymarie","why is it so hard to find good house events in the Sacramento area?","neutral"
"260",1957581680,"worry","kayla_chantel","In bed can't sleep .... Something is missing.....","sadness"
"261",1957583581,"hate","tieandshades","Okay I'm seriously bored. I have nothing to do. I can't go out cause it's raining.","boredom"
"262",1957585499,"worry","kimimd2b","Can't sleep bc I know I have to be up early !","worry"
"263",1957587498,"sadness","MikeTheTech","I have not been this sick in years. OMG. This sucks so bad. Sickness ended up including a full restroom cleanup.","anger"
"264",1957589662,"neutral","geo2011","I just spent 2 hours looking for a blog topic and ended up inventing my own.  grrrr    http://bit.ly/QRz6y","anger"
"265",1957591849,"sadness","xLakeEffectKid","@MarkK_H when you wake up, tweet me and let me know when ur on msn. I really need to talk to you  miss you","worry"
"266",1957594049,"surprise","rainonmyparade","i thought it was already winter. turns out winter has even started","neutral"
"267",1957596055,"sadness","lottie_89","@BK_II I have no choice  have to get on it!","worry"
"268",1957599694,"worry","magia3e","Is anyone's #visialvoicemail working. Have done the sync. Turned off &amp; on. But still not going  Help?","worry"
"269",1957601859,"sadness","xPrincess_Danax","Its a lovely day sky is clear birds are singing and i'm stuck in an office with on windows for 9 hours","sadness"
"270",1957605220,"worry","stevedisme","@DreamnetFaith69 I will have spent my allowance at cybernet expo in SF by then  send me a dm with rates, tho, mayb cash flo bttr 4 me then","neutral"
"271",1957607620,"neutral","jtetsuya","All of a sudden I'm craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...","fun"
"272",1957611008,"worry","TaratheDiva","I think i should go to sleep considering i hav to b up on 3hrs....","worry"
